canonical_smiles,pIC50
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,5.27
O=C1NC(=O)c2c1c1c3cccnc3ccc1c1[nH]c3ccccc3c21,6.37
O=C(NCC1CCC(C(=O)NO)CC1)c1cccc2ccccc12,4.04
O=C(NO)c1ccc(CNC(=O)c2ccc3ccccc3c2)cc1,6.16
O=C1NC(=O)c2c1c1c(ccc3cccnc31)c1[nH]c3ccccc3c21,6.1
O=C(NO)c1ccc(CNC(=O)c2ccccc2-c2ccccc2)cc1,4.06
O=C(NO)c1ccc(CNC(=O)c2ccc(-c3ccccc3)cc2)cc1,5.5
O=C1NC(=O)c2c1c1c3ccccc3cnc1c1c2c2ccccc2n1CCCO,6.8
O=C(NCC1CCC(C(=O)NO)CC1)c1ccc2ccccc2c1,5.18
O=C(NO)c1ccc(CNS(=O)(=O)c2ccccc2)cc1,4.41
O=C1NC(=O)c2c1c1nc3ccccc3cc1c1[nH]c3ccccc3c21,5.26
CN(C)CCCn1c2ccccc2c2c3c(c4c5ccccc5cnc4c21)C(=O)NC3=O,6.51
O=C(NO)C1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1,5.03
O=C1NC(=O)c2c1c1cnc3ccccc3c1c1[nH]c3ccccc3c21,5.71
CN(C)c1ccc(C(=O)NCC2CCC(C(=O)NO)CC2)cc1,5.12
Nc1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cn1,4.06
O=C(NO)C1CCC(CNS(=O)(=O)c2ccccc2)CC1,4.11
O=C1NC(=O)c2c1c1c3ccccc3ncc1c1[nH]c3ccccc3c21,6.41
O=C1NC(=O)c2c1c1c3ccncc3ccc1c1[nH]c3ccccc3c21,6.89
O=C(NCC1CCC(C(=O)NO)CC1)NC12CC3CC(CC(C3)C1)C2,4.68
O=C(NCC1CCC(C(=O)NO)CC1)c1ccc(-c2ccccc2)cc1,5.33
O=C(NO)c1ccc(CNC(=O)c2cccc3ccccc23)cc1,5.01
O=C1NC(=O)c2c1c1c3ccccc3ncc1c1[nH]c3cc(Cl)ccc3c21,6.19
Nc1ccc2cc(C(=O)NCc3ccc(C(=O)NO)cc3)ccc2c1,5.41
O=C(NO)c1ccc(CNS(=O)(=O)c2ccc3ccccc3c2)cc1,4.65
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)Oc4ccccc4)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,8.15
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1[C@@H](Cl)[C@@H]2O,8.92
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)OCc4ccccc4)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,7.52
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1[C@@H](F)[C@@H]2O,8.85
CCOC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)C3[C@]4(OC(C)=O)COC4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,7.52
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1[C@@H](Br)[C@@H]2O,8.59
C=COC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)C3[C@]4(OC(C)=O)COC4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,7.4
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)OCCl)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,7.52
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,8.4
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1[C@@H](F)[C@@H]2O,9.7
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,8.74
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)Oc4cccc(N(C)C)c4)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,7.8
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,8.4
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)CC3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,9.26
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,6.79
COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)Cc4ccc(N)cc4)cccc2-3)cc1,6.4
COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC=O)cccc2-3)cc1,6.16
Nn1c2ccc(F)cc2c2c3c(c4c5cc(F)ccc5sc4c21)C(=O)NC3=O,8.0
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)CC3OC[C@@]3(OC(=O)C3CC3)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,9.0
CC1=C[C@H]2O[C@@H]3[C@H](O)[C@H]4OC(=O)/C=C\C=C\[C@@H]5O[C@H](C/C(C)=C/C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1)O[C@H]5C,7.12
CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2OCOC(=O)N(CCOC(=O)CCCc1ccc(N(CCCl)CCCl)cc1)CCOC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,7.62
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(=O)N3CC3)CO[C@@H]1C[C@@H]2O,7.81
