canonical_smiles,pIC50
COC(=O)CC(O)CP(=O)([O-])CCc1c(Cl)cc(Cl)cc1OCc1ccccc1.[Na+],7.0
CC(C)(C)C(=O)OCOC(=O)CC(O)CP(=O)(CCc1c(Cl)cc(Cl)cc1OCc1ccccc1)OCOC(=O)C(C)(C)C,7.0
CCN(CC#Cc1ccc(N=[N+]=[N-])cc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,5.68
CCN(CC#Cc1cccc(N=[N+]=[N-])c1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,6.27
CCN(CC#Cc1ccccc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,7.16
Nc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F,8.55
CC1CN1CC(O)CC1CC1,5.08
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(N=[N+]=[N-])cc2)c1,5.92
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(C#N)cc2)c1,7.22
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(Cl)cc1)CCC2.[Na+],5.96
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(-c3ccccc3)cc1)CCC2.[Na+],7.0
Nc1ccn([C@H]2C=C[C@@H](CO)S2)c(=O)n1,4.82
CC1=C(SCCO)C(=O)c2ccccc2C1=O,5.08
Nc1nc(=O)n([C@@H]2C=C[C@H](CO)S2)cc1F,5.46
CC(C)(C)c1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],7.06
CC1=C(SCC(C)O)C(=O)c2ccccc2C1=O,5.25
Cc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],7.11
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21.[NaH],7.3
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1Cl)CCC2.[Na+],6.48
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc3ccccc3c1)CCC2.[Na+],6.48
COc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],6.3
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(F)cc1)CCC2.[Na+],6.4
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCc1ccccc1)CCC2.[Na+],5.77
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],7.1
COc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1OC.[Na+],5.44
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,7.1
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1cccc3ccccc13)CCC2.[Na+],6.34
Nc1ccn([C@@H]2C=C[C@H](CO)S2)c(=O)n1,6.1
CC(C)c1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],6.64
COc1cccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1.[Na+],5.92
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(C/C=C/c1ccccc1)CCC2.[Na+],6.0
CC1=C(SCCCO)C(=O)c2ccccc2C1=O,5.02
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1)CCC2.[Na+],6.77
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(c1ccccc1)CCC2.[Na+],5.09
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCCc1ccccc1)CCC2.[Na+],6.06
CCCCCCCCCCCCC(=O)N1CCC(C(C)CO)CC1,7.92
CC(C)CCCC(C)CCCC(C)N1CCCCC1,4.52
CCCCCCCCCCCC(=O)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,9.15
CCCCCCCCCCCCN1CCC(C(C)CO)CC1,7.4
O=C1NC(O)C(F)=CN1[C@H]1C=C[C@@H](CO)O1,4.23
O=c1[nH]c(=O)n([C@@H]2C=C[C@@H](CO)O2)cc1F,4.43
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,5.6
O=c1[nH]cc(F)c(=O)[nH]1,4.42
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@H](O)CC(=O)[O-])[C@]21C.[Na+],6.34
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@]21C,8.15
Cc1cc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc(C)c1Cl.[Na+],9.05
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,8.6
O=C([O-])C[C@H](O)C[C@H](O)/C=C/n1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1.[Na+],7.8
O=c1[nH]c(=O)n([C@@H]2C=C[C@H](CO)O2)cc1F,4.45
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],8.28
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,5.23
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,5.55
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2cc(O)c(C)c(C)c2O1,5.52
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1,4.03
O=c1[nH]cc(F)c(=O)[nH]1,4.07
Nc1cc(CO)cc(Nc2c3ccccc3nc3ccccc23)c1,5.85
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,6.57
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,6.92
N#CN=C(NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1,5.91
CN(C)CCNC(=O)c1cc(-c2cc(NC(=O)CCCC(=O)Nc3cc(CO)cc(Nc4c5ccccc5nc5ccccc45)c3)cn2C)cn1C,4.17
O=c1cc2sc3ccccc3nc-2c2cccnc12,6.96
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,8.0
Nc1nc(O)c2ncn(/C=C3/CC3CO)c2n1,5.0
CC1C(=O)N(CCCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,6.45
N#C/N=C1\N(CCCCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1,6.42
CCC1C(=O)N(CCCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,5.46
CC1C(=O)N(CCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,5.39
N#C/N=C1\N(CCCCCCOc2ccc(Cl)cc2)C(=O)CCN1c1ccncc1,6.46
O=c1cc2oc3ccccc3nc-2c2cccnc12,7.3
N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1,6.38
CCC1C(=O)N(CCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,5.36
CCOC(=O)Nc1cc(COC(=O)CCC(=O)Nc2cc(C(=O)NCCN(C)C)n(C)c2)cc(Nc2c3ccccc3nc3ccccc23)c1,7.1
N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)CN1c1ccncc1,5.38
CC1C(=O)N(CCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,6.55
CCOC(=O)Nc1cc(CO)cc(Nc2c3ccccc3nc3ccccc23)c1,6.34
CCOC(=O)Nc1cc(COC(=O)CCCC(=O)Nc2cc(-c3cc(C(=O)NCCN(C)C)n(C)c3)n(C)c2)cc(Nc2c3ccccc3nc3ccccc23)c1,6.2
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,5.85
Nc1ncnc2c1ncn2/C=C1/CC1CO,5.7
CN(C)CCNC(=O)c1cc(NC(=O)CCC(=O)Nc2cc(CO)cc(Nc3c4ccccc4nc4ccccc34)c2)cn1C,5.38
N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)CCN1c1ccncc1,5.55
CN(C)CCNC(=O)c1cc(NC(=O)CCCC(=O)Nc2cc(CO)cc(Nc3c4ccccc4nc4ccccc34)c2)cn1C,4.0
N#C/N=C1\N(CCCCCCOc2ccc(Cl)cc2)C(=O)CN1c1ccncc1,6.41
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,4.28
CN(C)CCNC(=O)c1cc(-c2cc(NC(=O)CCC(=O)Nc3cc(CO)cc(Nc4c5ccccc5nc5ccccc45)c3)cn2C)cn1C,5.16
CCOC(=O)Nc1cc(COC(=O)CCCC(=O)Nc2cc(C(=O)NCCN(C)C)n(C)c2)cc(Nc2c3ccccc3nc3ccccc23)c1,7.1
N#C/N=C1\N(CCCCCCCOc2ccc(Cl)cc2)C(=O)CN1c1ccncc1,5.56
CCC1C(=O)N(CCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1,5.37
N#C/N=C1\N(CCCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1,7.36
N#C/N=C1\N(CCCCCCCOc2ccc(Cl)cc2)C(=O)CCN1c1ccncc1,5.4
CC(C)CCCC(C)CCCC(C)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,7.16
C[C@@H]1[C@@H](O)CC[C@]2(C)CNCC[C@@H]12,4.72
CCCCCCCCCCCC(=O)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,6.16
CCCCCCCCCCCC[S+]([O-])N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,5.55
CCCCCCCCCCCCS(=O)(=O)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,4.28
c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,7.22
CCCCCCCCCCCCN1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,8.0
CCCCCCCCCCCC(=S)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,5.7
CC1(C)[C@@H](O)CC[C@]2(C)CCCC[C@@H]12,4.55
Nc1ncn(C[C@H]2CO[C@@H](CO)O2)c(=O)n1,4.57
Nc1ncn(C[C@H]2CO[C@H](CO)O2)c(=O)n1,4.77
Nc1ncn(C[C@@H]2CO[C@H](CO)O2)c(=O)n1,4.77
Nc1ncn(C[C@@H]2CO[C@@H](CO)O2)c(=O)n1,4.6
Cc1cc(Cn2cc(C(=O)C(=O)Nc3cc(C)ns3)c3ccccc32)on1,5.77
Cc1cc(Cn2cc(C(=O)C(=O)Nc3ccc4ncccc4c3)c3ccccc32)on1,5.74
CCc1cc(Cn2cc(C(=O)C(=O)Nc3cc(C)ns3)c3ccccc32)on1,5.94
OCC1C=CC(n2cnc3c(O)ncnc32)O1,4.3
Nc1nc(O)c2ncn(C3C=CC(CO)O3)c2n1,4.3
Cc1cc(NC(=O)C(=O)c2cn(Cc3ccc(C#N)cc3)c3ccccc23)sn1,5.44
Cc1cc(NC(=O)C(=O)c2cn(Cc3ccco3)c3ccccc23)sn1,5.14
Cc1cc(NC(=O)C(=O)c2cn(Cc3ccoc3)c3ccccc23)sn1,5.22
Cc1cc(NC(=O)C(=O)c2cn(Cc3ccsc3)c3ccccc23)sn1,5.6
Nc1ncnc2c1ncn2[C@H]1C=C[C@@H](CO)O1,4.16
O=C(Nc1ccc2ncccc2c1)C(=O)c1cn(Cc2cccs2)c2ccccc12,5.25
O=C(Nc1ccc2ncccc2c1)C(=O)c1cn(Cc2ccsc2)c2ccccc12,5.72
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc([N+](=O)[O-])cc2)=N1,7.16
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccccc2)=N1,6.0
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(N(C)C)cc2)=N1,6.05
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(Br)cc2)=N1,5.64
CCOC(=O)C1(N)CSC2=C1C(=O)c1ncccc1C2=O,6.22
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,7.55
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(N(C)C)cc2)=N1,5.66
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(Br)cc2)=N1,6.52
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(C)cc2)=N1,5.72
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(Cl)cc2)=N1,6.4
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(C)cc2)=N1,6.05
O=c1cc2oc3ccccc3nc-2c2cccnc12,7.3
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(OC)cc2)=N1,6.0
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,5.29
