cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HCT116,32278,CHEMBL685779,CHEMBL27759,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,HCT-116,Homo sapiens,F,IC50,=,5400.0,nM,5.27,pchembl_value,5.27,,5.4e-06,5400.0,5.370318e-06,5370.317964,5.267606,0.002394
HCT116,33395,CHEMBL687057,CHEMBL283778,O=C1NC(=O)c2c1c1c3cccnc3ccc1c1[nH]c3ccccc3c21,HCT-116,Homo sapiens,F,IC50,=,430.0,nM,6.37,pchembl_value,6.37,,4.3e-07,430.0,4.2658e-07,426.579519,6.366532,0.003468
HCT116,34676,CHEMBL685779,CHEMBL283698,O=C(NCC1CCC(C(=O)NO)CC1)c1cccc2ccccc12,HCT-116,Homo sapiens,F,IC50,=,90100.0,nM,4.04,pchembl_value,4.04,,9.01e-05,90100.0,9.1201084e-05,91201.083936,4.045275,0.005275
HCT116,35161,CHEMBL690494,CHEMBL331587,COc1cc2c3c(n(C)c(=O)c2cc1OC)-c1cc2c(cc1/C3=C\CCCCl)OCO2,HCT-116,Homo sapiens,F,GI50,=,40400.0,nM,4.393619,fallback_from_standard_value_units,,,4.04e-05,40400.0,4.0399966e-05,40399.966036,4.393619,0.0
HCT116,35923,CHEMBL685779,CHEMBL27556,O=C(NO)c1ccc(CNC(=O)c2ccc3ccccc3c2)cc1,HCT-116,Homo sapiens,F,IC50,=,700.0,nM,6.16,pchembl_value,6.16,,7e-07,700.0,6.91831e-07,691.830971,6.154902,0.005098
HCT116,36364,CHEMBL690494,CHEMBL113069,COc1cc2c3c(n(C)c(=O)c2cc1OC)-c1cc2c(cc1/C3=C/CCCI)OCO2,HCT-116,Homo sapiens,F,GI50,=,560.0,nM,6.251812,fallback_from_standard_value_units,,,5.6e-07,560.0,5.6e-07,559.999965,6.251812,0.0
HCT116,37088,CHEMBL687057,CHEMBL20834,O=C1NC(=O)c2c1c1c(ccc3cccnc31)c1[nH]c3ccccc3c21,HCT-116,Homo sapiens,F,IC50,=,800.0,nM,6.1,pchembl_value,6.10,,8e-07,800.0,7.94328e-07,794.328235,6.09691,0.00309
HCT116,38552,CHEMBL690493,CHEMBL279983,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,HCT-116,Homo sapiens,F,GI50,=,173.0,nM,6.761954,fallback_from_standard_value_units,,,1.73e-07,173.0,1.73e-07,172.999959,6.761954,0.0
HCT116,39494,CHEMBL685779,CHEMBL287402,O=C(NO)c1ccc(CNC(=O)c2ccccc2-c2ccccc2)cc1,HCT-116,Homo sapiens,F,IC50,=,87600.0,nM,4.06,pchembl_value,4.06,,8.76e-05,87600.0,8.7096359e-05,87096.358996,4.057496,0.002504
HCT116,41915,CHEMBL685779,CHEMBL26844,O=C(NO)c1ccc(CNC(=O)c2ccc(-c3ccccc3)cc2)cc1,HCT-116,Homo sapiens,F,IC50,=,3200.0,nM,5.5,pchembl_value,5.50,,3.2e-06,3200.0,3.162278e-06,3162.27766,5.49485,0.00515
