cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,38273,CHEMBL881719,CHEMBL39380,COC(=O)CC(O)CP(=O)([O-])CCc1c(Cl)cc(Cl)cc1OCc1ccccc1.[Na+],HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,,1e-07,100.0,1e-07,100.0,7.0,0.0
HepG2,44218,CHEMBL881719,CHEMBL39003,CC(C)(C)C(=O)OCOC(=O)CC(O)CP(=O)(CCc1c(Cl)cc(Cl)cc1OCc1ccccc1)OCOC(=O)C(C)(C)C,HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,,1e-07,100.0,1e-07,100.0,7.0,0.0
HepG2,47846,CHEMBL824182,CHEMBL39102,O=C(O)C[C@H](O)CP(=O)(O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1,HepG2,Homo sapiens,F,IC50,>,1000.0,nM,6.0,fallback_from_standard_value_units,,,1e-06,1000.0,1e-06,1000.0,6.0,0.0
HepG2,74273,CHEMBL696886,CHEMBL104865,O=c1n(C2CSC(CO)O2)ccc2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,77700.0,nM,4.11,pchembl_value,4.11,,7.77e-05,77700.0,7.7624712e-05,77624.711663,4.109579,0.000421
HepG2,74280,CHEMBL696886,CHEMBL853,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,1500.0,nM,5.82,pchembl_value,5.82,,1.5e-06,1500.0,1.513561e-06,1513.561248,5.823909,0.003909
HepG2,74282,CHEMBL693997,CHEMBL853,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,3200.0,nM,5.5,pchembl_value,5.50,,3.2e-06,3200.0,3.162278e-06,3162.27766,5.49485,0.00515
HepG2,79874,CHEMBL696886,CHEMBL2112455,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,15100.0,nM,4.82,pchembl_value,4.82,,1.51e-05,15100.0,1.5135612e-05,15135.612484,4.821023,0.001023
HepG2,79876,CHEMBL693997,CHEMBL2112455,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,29100.0,nM,4.54,pchembl_value,4.54,,2.91e-05,29100.0,2.8840315e-05,28840.315031,4.536107,0.003893
HepG2,80525,CHEMBL688220,CHEMBL111335,N#CN/C(=N\C1CCCC1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,HepG2,Homo sapiens,F,EC50,=,10400.0,nM,4.98,pchembl_value,4.98,,1.04e-05,10400.0,1.0471285e-05,10471.285481,4.982967,0.002967
HepG2,82168,CHEMBL696886,CHEMBL415505,O=c1n(C2CSC(CO)O2)ccc2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,4800.0,nM,5.32,pchembl_value,5.32,,4.8e-06,4800.0,4.786301e-06,4786.300923,5.318759,0.001241
HepG2,82175,CHEMBL696886,CHEMBL107389,CCOC(=O)c1cn2c(=O)n(C3CSC(CO)O3)ccc2n1,HepG2,Homo sapiens,F,EC50,>,90000.0,nM,4.045757,fallback_from_standard_value_units,,,9e-05,90000.0,9.0000102e-05,90000.10166,4.045757,0.0
HepG2,86159,CHEMBL696886,CHEMBL2112456,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,1900.0,nM,5.72,pchembl_value,5.72,,1.9e-06,1900.0,1.905461e-06,1905.460718,5.721246,0.001246
HepG2,86161,CHEMBL693997,CHEMBL2112456,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,7700.0,nM,5.11,pchembl_value,5.11,,7.7e-06,7700.0,7.762471e-06,7762.471166,5.113509,0.003509
HepG2,87845,CHEMBL884224,CHEMBL50179,CC(C)CC/N=C(\NC#N)Nc1cc(Cl)cc(Cl)c1,HepG2,Homo sapiens,F,EC50,=,22000.0,nM,4.66,pchembl_value,4.66,,2.2e-05,22000.0,2.1877616e-05,21877.616239,4.657577,0.002423
HepG2,89224,CHEMBL696886,CHEMBL316753,O=c1n(C2COC(CO)O2)ccc2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,2000.0,nM,5.7,pchembl_value,5.70,,2e-06,2000.0,1.995262e-06,1995.262315,5.69897,0.00103
HepG2,89230,CHEMBL696886,CHEMBL2111656,O=c1n([C@H]2CO[C@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,3700.0,nM,5.43,pchembl_value,5.43,,3.7e-06,3700.0,3.715352e-06,3715.352291,5.431798,0.001798
HepG2,89232,CHEMBL693997,CHEMBL2111656,O=c1n([C@H]2CO[C@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,12800.0,nM,4.89,pchembl_value,4.89,,1.28e-05,12800.0,1.2882496e-05,12882.495517,4.89279,0.00279
HepG2,97281,CHEMBL696886,CHEMBL322218,O=c1n(C2COC(CO)O2)ccc2nc(-c3ccc(F)cc3)cn12,HepG2,Homo sapiens,F,EC50,=,4200.0,nM,5.38,pchembl_value,5.38,,4.2e-06,4200.0,4.168694e-06,4168.693835,5.376751,0.003249
HepG2,101246,CHEMBL696886,CHEMBL2112454,O=c1n([C@H]2CO[C@@H](CO)O2)ccc2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,2300.0,nM,5.64,pchembl_value,5.64,,2.3e-06,2300.0,2.290868e-06,2290.867653,5.638272,0.001728
HepG2,101252,CHEMBL696886,CHEMBL2111658,O=c1n([C@H]2CO[C@H](CO)O2)ccc2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,12500.0,nM,4.9,pchembl_value,4.90,,1.25e-05,12500.0,1.2589254e-05,12589.254118,4.90309,0.00309
HepG2,111530,CHEMBL694352,CHEMBL16120,CCN(CC#Cc1ccc(N=[N+]=[N-])cc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,=,2100.0,nM,5.68,pchembl_value,5.68,,2.1e-06,2100.0,2.089296e-06,2089.296131,5.677781,0.002219
HepG2,112938,CHEMBL694352,CHEMBL267332,CCN(CC#Cc1cccc(N=[N+]=[N-])c1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,=,540.0,nM,6.27,pchembl_value,6.27,,5.4e-07,540.0,5.37032e-07,537.031796,6.267606,0.002394
HepG2,112940,CHEMBL694352,CHEMBL16178,CCN(CC#Cc1ccccc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,=,70.0,nM,7.16,pchembl_value,7.16,,7e-08,70.0,6.9183e-08,69.183097,7.154902,0.005098
HepG2,113895,CHEMBL693801,CHEMBL54875,Nc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F,HepG2,Homo sapiens,F,IC50,=,2.8,nM,8.55,pchembl_value,8.55,,2.8e-09,2.8,2.818e-09,2.818383,8.552842,0.002842
HepG2,116929,CHEMBL696816,CHEMBL18511,CC1CN1CC(O)CC1CC1,HepG2,Homo sapiens,F,IC50,=,8280.0,nM,5.08,pchembl_value,5.08,,8.28e-06,8280.0,8.317638e-06,8317.637711,5.08197,0.00197
HepG2,124106,CHEMBL694352,CHEMBL16004,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(N=[N+]=[N-])cc2)c1,HepG2,Homo sapiens,F,IC50,=,1200.0,nM,5.92,pchembl_value,5.92,,1.2e-06,1200.0,1.202264e-06,1202.264435,5.920819,0.000819
HepG2,141496,CHEMBL694352,CHEMBL15929,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(C#N)cc2)c1,HepG2,Homo sapiens,F,IC50,=,60.0,nM,7.22,pchembl_value,7.22,,6e-08,60.0,6.0256e-08,60.255959,7.221849,0.001849
HepG2,143998,CHEMBL694352,CHEMBL15811,CCN(CC#Cc1ccccc1N=[N+]=[N-])Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,,0.0001,100000.0,0.0001,100000.0,4.0,0.0
