cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment
HepG2,38273,CHEMBL881719,CHEMBL39380,COC(=O)CC(O)CP(=O)([O-])CCc1c(Cl)cc(Cl)cc1OCc1ccccc1.[Na+],HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,
HepG2,44218,CHEMBL881719,CHEMBL39003,CC(C)(C)C(=O)OCOC(=O)CC(O)CP(=O)(CCc1c(Cl)cc(Cl)cc1OCc1ccccc1)OCOC(=O)C(C)(C)C,HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,
HepG2,47846,CHEMBL824182,CHEMBL39102,O=C(O)C[C@H](O)CP(=O)(O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1,HepG2,Homo sapiens,F,IC50,>,1000.0,nM,6.0,fallback_from_standard_value_units,,
HepG2,74273,CHEMBL696886,CHEMBL104865,O=c1n(C2CSC(CO)O2)ccc2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,77700.0,nM,4.11,pchembl_value,4.11,
HepG2,74280,CHEMBL696886,CHEMBL853,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,1500.0,nM,5.82,pchembl_value,5.82,
HepG2,74282,CHEMBL693997,CHEMBL853,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,EC50,=,3200.0,nM,5.5,pchembl_value,5.50,
HepG2,79874,CHEMBL696886,CHEMBL2112455,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,15100.0,nM,4.82,pchembl_value,4.82,
HepG2,79876,CHEMBL693997,CHEMBL2112455,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,29100.0,nM,4.54,pchembl_value,4.54,
HepG2,80525,CHEMBL688220,CHEMBL111335,N#CN/C(=N\C1CCCC1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,HepG2,Homo sapiens,F,EC50,=,10400.0,nM,4.98,pchembl_value,4.98,
HepG2,82168,CHEMBL696886,CHEMBL415505,O=c1n(C2CSC(CO)O2)ccc2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,4800.0,nM,5.32,pchembl_value,5.32,
HepG2,82175,CHEMBL696886,CHEMBL107389,CCOC(=O)c1cn2c(=O)n(C3CSC(CO)O3)ccc2n1,HepG2,Homo sapiens,F,EC50,>,90000.0,nM,4.045757,fallback_from_standard_value_units,,
HepG2,86159,CHEMBL696886,CHEMBL2112456,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,1900.0,nM,5.72,pchembl_value,5.72,
HepG2,86161,CHEMBL693997,CHEMBL2112456,O=c1n([C@H]2CO[C@@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,7700.0,nM,5.11,pchembl_value,5.11,
HepG2,87845,CHEMBL884224,CHEMBL50179,CC(C)CC/N=C(\NC#N)Nc1cc(Cl)cc(Cl)c1,HepG2,Homo sapiens,F,EC50,=,22000.0,nM,4.66,pchembl_value,4.66,
HepG2,89224,CHEMBL696886,CHEMBL316753,O=c1n(C2COC(CO)O2)ccc2nc(CO)cn12,HepG2,Homo sapiens,F,EC50,=,2000.0,nM,5.7,pchembl_value,5.70,
HepG2,89230,CHEMBL696886,CHEMBL2111656,O=c1n([C@H]2CO[C@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,3700.0,nM,5.43,pchembl_value,5.43,
HepG2,89232,CHEMBL693997,CHEMBL2111656,O=c1n([C@H]2CO[C@H](CO)O2)cc(F)c2nc(-c3ccc([N+](=O)[O-])cc3)cn12,HepG2,Homo sapiens,F,EC50,=,12800.0,nM,4.89,pchembl_value,4.89,
HepG2,97281,CHEMBL696886,CHEMBL322218,O=c1n(C2COC(CO)O2)ccc2nc(-c3ccc(F)cc3)cn12,HepG2,Homo sapiens,F,EC50,=,4200.0,nM,5.38,pchembl_value,5.38,
