cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,38273,CHEMBL881719,CHEMBL39380,COC(=O)CC(O)CP(=O)([O-])CCc1c(Cl)cc(Cl)cc1OCc1ccccc1.[Na+],HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,,1e-07,100.0,1e-07,100.0,7.0,0.0
HepG2,44218,CHEMBL881719,CHEMBL39003,CC(C)(C)C(=O)OCOC(=O)CC(O)CP(=O)(CCc1c(Cl)cc(Cl)cc1OCc1ccccc1)OCOC(=O)C(C)(C)C,HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,,1e-07,100.0,1e-07,100.0,7.0,0.0
HepG2,111530,CHEMBL694352,CHEMBL16120,CCN(CC#Cc1ccc(N=[N+]=[N-])cc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,=,2100.0,nM,5.68,pchembl_value,5.68,,2.1e-06,2100.0,2.089296e-06,2089.296131,5.677781,0.002219
HepG2,112938,CHEMBL694352,CHEMBL267332,CCN(CC#Cc1cccc(N=[N+]=[N-])c1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,=,540.0,nM,6.27,pchembl_value,6.27,,5.4e-07,540.0,5.37032e-07,537.031796,6.267606,0.002394
HepG2,112940,CHEMBL694352,CHEMBL16178,CCN(CC#Cc1ccccc1)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,HepG2,Homo sapiens,F,IC50,=,70.0,nM,7.16,pchembl_value,7.16,,7e-08,70.0,6.9183e-08,69.183097,7.154902,0.005098
HepG2,113895,CHEMBL693801,CHEMBL54875,Nc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F,HepG2,Homo sapiens,F,IC50,=,2.8,nM,8.55,pchembl_value,8.55,,2.8e-09,2.8,2.818e-09,2.818383,8.552842,0.002842
HepG2,116929,CHEMBL696816,CHEMBL18511,CC1CN1CC(O)CC1CC1,HepG2,Homo sapiens,F,IC50,=,8280.0,nM,5.08,pchembl_value,5.08,,8.28e-06,8280.0,8.317638e-06,8317.637711,5.08197,0.00197
HepG2,124106,CHEMBL694352,CHEMBL16004,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(N=[N+]=[N-])cc2)c1,HepG2,Homo sapiens,F,IC50,=,1200.0,nM,5.92,pchembl_value,5.92,,1.2e-06,1200.0,1.202264e-06,1202.264435,5.920819,0.000819
HepG2,141496,CHEMBL694352,CHEMBL15929,CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(C#N)cc2)c1,HepG2,Homo sapiens,F,IC50,=,60.0,nM,7.22,pchembl_value,7.22,,6e-08,60.0,6.0256e-08,60.255959,7.221849,0.001849
HepG2,145237,CHEMBL692122,CHEMBL120102,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(Cl)cc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,1100.0,nM,5.96,pchembl_value,5.96,,1.1e-06,1100.0,1.096478e-06,1096.478196,5.958607,0.001393
HepG2,146420,CHEMBL688224,CHEMBL122674,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(-c3ccccc3)cc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,100.0,nM,7.0,pchembl_value,7.00,,1e-07,100.0,1e-07,100.0,7.0,0.0
HepG2,147321,CHEMBL694940,CHEMBL90393,Nc1ccn([C@H]2C=C[C@@H](CO)S2)c(=O)n1,HepG2,Homo sapiens,F,IC50,=,15000.0,nM,4.82,pchembl_value,4.82,,1.5e-05,15000.0,1.5135612e-05,15135.612484,4.823909,0.003909
HepG2,147461,CHEMBL694939,CHEMBL92659,CC1=C(SCCO)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,=,8400.0,nM,5.08,pchembl_value,5.08,,8.4e-06,8400.0,8.317638e-06,8317.637711,5.075721,0.004279
HepG2,153336,CHEMBL694940,CHEMBL89223,Nc1nc(=O)n([C@@H]2C=C[C@H](CO)S2)cc1F,HepG2,Homo sapiens,F,IC50,=,3500.0,nM,5.46,pchembl_value,5.46,,3.5e-06,3500.0,3.467369e-06,3467.368505,5.455932,0.004068
HepG2,153576,CHEMBL871945,CHEMBL123826,CC(C)(C)c1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,88.0,nM,7.06,pchembl_value,7.06,,8.8e-08,88.0,8.7096e-08,87.096359,7.055517,0.004483
HepG2,154669,CHEMBL694939,CHEMBL93755,CC1=C(SCC(C)O)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,=,5590.0,nM,5.25,pchembl_value,5.25,,5.59e-06,5590.0,5.623413e-06,5623.413252,5.252588,0.002588
HepG2,154775,CHEMBL686028,CHEMBL124354,Cc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,78.0,nM,7.11,pchembl_value,7.11,,7.8e-08,78.0,7.7625e-08,77.624712,7.107905,0.002095
HepG2,159655,CHEMBL688225,CHEMBL2364554,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21.[NaH],HepG2,Homo sapiens,F,IC50,=,50.0,nM,7.3,pchembl_value,7.30,,5e-08,50.0,5.0119e-08,50.118723,7.30103,0.00103
HepG2,160944,CHEMBL692117,CHEMBL332353,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1Cl)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,330.0,nM,6.48,pchembl_value,6.48,,3.3e-07,330.0,3.31131e-07,331.131121,6.481486,0.001486
HepG2,164593,CHEMBL692118,CHEMBL332812,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc3ccccc3c1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,330.0,nM,6.48,pchembl_value,6.48,,3.3e-07,330.0,3.31131e-07,331.131121,6.481486,0.001486
HepG2,168401,CHEMBL686033,CHEMBL421080,COc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,500.0,nM,6.3,pchembl_value,6.30,,5e-07,500.0,5.01187e-07,501.187234,6.30103,0.00103
HepG2,169596,CHEMBL688223,CHEMBL122607,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(F)cc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,400.0,nM,6.4,pchembl_value,6.40,,4e-07,400.0,3.98107e-07,398.107171,6.39794,0.00206
HepG2,170741,CHEMBL692125,CHEMBL121965,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,1700.0,nM,5.77,pchembl_value,5.77,,1.7e-06,1700.0,1.698244e-06,1698.243652,5.769551,0.000449
HepG2,170743,CHEMBL686029,CHEMBL2218894,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],HepG2,Homo sapiens,F,IC50,=,79.0,nM,7.1,pchembl_value,7.10,,7.9e-08,79.0,7.9433e-08,79.432823,7.102373,0.002373
HepG2,172010,CHEMBL692126,CHEMBL332548,COc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1OC.[Na+],HepG2,Homo sapiens,F,IC50,=,3600.0,nM,5.44,pchembl_value,5.44,,3.6e-06,3600.0,3.630781e-06,3630.780548,5.443697,0.003697
HepG2,173176,CHEMBL686030,CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,HepG2,Homo sapiens,F,IC50,=,79.0,nM,7.1,pchembl_value,7.10,,7.9e-08,79.0,7.9433e-08,79.432823,7.102373,0.002373
