row_id,smiles,status,n_atoms,coord_mean_abs,hepg2_pIC50,hct116_pIC50
0,Br.COc1cc2c(cc1OCc1ccccc1)C[N+](C)(Cc1ccc(Nc3ccccc3[N+](=O)[O-])nc1)CC2,uff_not_converged,69,2.4772229194641113,5.32,
1,Brc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,ok,35,2.0226502418518066,5.37,
2,Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,ok,41,2.1008434295654297,4.61,
3,Brc1ccc(C2=Nn3c(nnc3-c3ccncc3)SC2)cc1,ok,32,1.9218387603759766,5.64,
4,Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,ok,43,1.7898263931274414,5.85,
5,Brc1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)n2-c2ccccc2)cc1,ok,48,2.1796674728393555,5.1,
6,Brc1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,ok,37,1.914913535118103,5.07,
7,Brc1ccc(Nc2nn3c(-c4ccncc4)nnc3s2)cc1,ok,31,1.8608341217041016,6.89,
8,Brc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)n2-c2ccccc2)c1,ok,48,2.1191368103027344,5.28,
9,Brc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)c1,ok,37,1.9427759647369385,4.6,
10,Brc1cccc(Nc2ncnc3ccc(NCc4ccccc4Br)cc23)c1,ok,43,1.9794204235076904,5.56,
11,Brc1ccccc1CSc1nnc(-c2ccc3c(c2)OCCO3)n1-c1ccccc1,ok,48,2.003465414047241,5.33,
12,Brc1ccccc1CSc1nnc(-c2ccc3c(c2)OCCO3)o1,ok,37,2.2091996669769287,4.7,
13,C#CCNc1cc(/C=C/C(=O)c2ccc(OC)c3c2OC(C)(C)C=C3)ccc1OC,uff_not_converged,55,2.7744219303131104,5.79,
14,C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC(=O)[C@@H]3[C@@]4(C)CCC(=O)[C@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,uff_not_converged,80,2.172572612762451,4.22,
15,C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,uff_not_converged,97,2.3894944190979004,4.3,
16,C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCC(=O)O)[C@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,uff_not_converged,94,2.446805238723755,4.94,
17,C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCCC(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,uff_not_converged,100,2.5952694416046143,4.7,
18,C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OCCCC(=O)O)[C@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,uff_not_converged,95,2.4139935970306396,4.56,
19,C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1C[C@@H](O)[C@@H]3[C@@]4(C)CCC(=O)[C@@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,uff_not_converged,82,2.1516964435577393,4.4,
20,C#CCOC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,uff_not_converged,86,2.3020288944244385,4.44,
21,C#CCOc1ccc2c(=O)c(-c3cc(OC)c(OC)cc3OC)coc2c1,ok,45,2.3941569328308105,5.3,
22,C#CCn1c(=O)c(I)cn(Cc2cn(-c3ccc(Cl)cc3)nn2)c1=O,ok,36,1.9538955688476562,4.88,
23,C#CCn1c(=O)c(I)cn(Cc2cn(-c3ccc(F)cc3)nn2)c1=O,uff_not_converged,36,2.0207204818725586,5.29,
24,C#Cc1cccc(NC(=O)CO/N=C2\CC[C@H]3[C@@]45C=C[C@]6(C[C@@H](O)CC[C@]6(C)[C@@H]4CC[C@]23C)OO5)c1,uff_not_converged,70,2.7482829093933105,4.36,
25,C#Cc1cccc(Nc2ncnc3cc(NC(=O)/C=C/c4ccccc4)sc23)c1,ok,45,2.5339438915252686,4.81,
26,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,uff_not_converged,52,2.267629384994507,6.39,
27,C#Cc1cccc(Nc2ncnc3sc(NC(=O)/C=C/c4ccccc4)cc23)c1,ok,45,2.4725046157836914,4.24,
28,C/C(=C\[C@@H](O)C/C(C)=C/CCc1ccoc1)CC[C@@H](O)[C@]1(C)CCC(=O)O1,uff_not_converged,59,2.023102045059204,6.0,
29,C/C(=N\NC1=NC(=O)C(C)S1)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,uff_not_converged,50,2.642974853515625,5.3,
30,C/C(=N\NC1=NC(=O)CS1)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,uff_not_converged,47,2.450054407119751,5.3,
31,C/C(=N\Nc1c(Cl)cc(Cl)cc1Cl)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,uff_not_converged,50,2.43747878074646,5.3,
32,C/C(=N\Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,uff_not_converged,54,2.5879859924316406,5.3,
33,C/C(=N\Nc1ccccc1)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,uff_not_converged,50,2.595355987548828,5.3,
