smiles,hepg2_pIC50,hct116_pIC50,n_tasks_observed
Br.COc1cc2c(cc1OCc1ccccc1)C[N+](C)(Cc1ccc(Nc3ccccc3[N+](=O)[O-])nc1)CC2,5.32,,1
Brc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,5.37,,1
Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,4.61,,1
Brc1ccc(C2=Nn3c(nnc3-c3ccncc3)SC2)cc1,5.64,,1
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.85,,1
Brc1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)n2-c2ccccc2)cc1,5.1,,1
Brc1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,5.07,,1
Brc1ccc(Nc2nn3c(-c4ccncc4)nnc3s2)cc1,6.89,,1
Brc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)n2-c2ccccc2)c1,5.28,,1
Brc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)c1,4.6,,1
Brc1cccc(Nc2ncnc3ccc(NCc4ccccc4Br)cc23)c1,5.56,,1
Brc1ccccc1CSc1nnc(-c2ccc3c(c2)OCCO3)n1-c1ccccc1,5.33,,1
Brc1ccccc1CSc1nnc(-c2ccc3c(c2)OCCO3)o1,4.7,,1
C#CCNc1cc(/C=C/C(=O)c2ccc(OC)c3c2OC(C)(C)C=C3)ccc1OC,5.79,,1
C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC(=O)[C@@H]3[C@@]4(C)CCC(=O)[C@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,4.22,,1
C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,4.3,,1
C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCC(=O)O)[C@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,4.94,,1
C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OC(=O)CCCC(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,4.7,,1
C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OCCCC(=O)O)[C@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,4.56,,1
C#CCOC(=O)[C@]12CC[C@@H](C(=C)C)[C@@H]1[C@H]1C[C@@H](O)[C@@H]3[C@@]4(C)CCC(=O)[C@@H](C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,4.4,,1
C#CCOC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,4.44,,1
C#CCOc1ccc2c(=O)c(-c3cc(OC)c(OC)cc3OC)coc2c1,5.3,,1
C#CCn1c(=O)c(I)cn(Cc2cn(-c3ccc(Cl)cc3)nn2)c1=O,4.88,,1
C#CCn1c(=O)c(I)cn(Cc2cn(-c3ccc(F)cc3)nn2)c1=O,5.29,,1
C#Cc1cccc(NC(=O)CO/N=C2\CC[C@H]3[C@@]45C=C[C@]6(C[C@@H](O)CC[C@]6(C)[C@@H]4CC[C@]23C)OO5)c1,4.36,,1
C#Cc1cccc(Nc2ncnc3cc(NC(=O)/C=C/c4ccccc4)sc23)c1,4.81,,1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,6.39,,1
C#Cc1cccc(Nc2ncnc3sc(NC(=O)/C=C/c4ccccc4)cc23)c1,4.24,,1
C/C(=C\[C@@H](O)C/C(C)=C/CCc1ccoc1)CC[C@@H](O)[C@]1(C)CCC(=O)O1,6.0,,1
C/C(=N\NC1=NC(=O)C(C)S1)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,5.3,,1
C/C(=N\NC1=NC(=O)CS1)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,5.3,,1
C/C(=N\Nc1c(Cl)cc(Cl)cc1Cl)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,5.3,,1
C/C(=N\Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,5.3,,1
C/C(=N\Nc1ccccc1)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,5.3,,1
C/C(=N\Nc1nc(C)c(-c2ccccc2)s1)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,5.46,,1
C/C1=C\C=C\CC[C@H](C)CNC(=O)/C=C/C=C/[C@H](C)[C@@H](O[C@H]2C[C@H](O)[C@H](N)[C@@H](C)O2)C/C=C(\C)C1,5.68,,1
C/C=C(/C)C(=O)Oc1c2c(cc3c1-c1c(cc(OC)c(OC)c1OC)C[C@](C)(O)[C@@H](C)C3)OCO2,6.44,,1
C/C=C/C=C/C(=O)Oc1c(OC)cc2c3c1Oc1cc4c(cc1OC)CCN(C)[C@H]4Cc1ccc(cc1)Oc1cc(ccc1OC)C[C@@H]3N(C)CC2,5.4,,1
C/C=C/c1ccc(O)c(-c2cc(/C=C/C)ccc2O)c1,4.42,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC(N4CCCCC4)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@@H]6OC(=O)OC[C@@]6(C)[C@@H]5CC[C@]43C)[C@@H]12,4.99,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC(N4CCCCC4)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.9,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC(N4CCCCC4)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.95,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCCCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.16,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCCCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.18,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCSC)C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.04,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCSC)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.39,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.14,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCC[C@H]3C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,5.01,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCNCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,5.05,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCNCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.75,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.38,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,5.01,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)N3CCC[C@H]3C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,5.03,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)N[C@@H](C)C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.49,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)N[C@@H](C)C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.92,,1
