action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,78100,[],CHEMBL664465,Antibacterial activity against Escherichia coli DNA topoisomerase I,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1c(Br)c(OC)cc(O)c1CSC[C@H](Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C1=NOCCO1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134350,J Med Chem,2001,,CHEMBL157769,,CHEMBL157769,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,307874,=,1,1,=,,IC50,ug.mL-1,,120.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,ug ml-1,UO_0000274,,120.0
,,87672,[],CHEMBL664465,Antibacterial activity against Escherichia coli DNA topoisomerase I,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1c(Br)c(OC)cc(O)c1CSC[C@H](Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1nc(C)no1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134350,J Med Chem,2001,,CHEMBL157831,,CHEMBL157831,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,307877,=,1,1,=,,IC50,ug.mL-1,,120.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,ug ml-1,UO_0000274,,120.0
,,104569,[],CHEMBL664465,Antibacterial activity against Escherichia coli DNA topoisomerase I,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1c(Br)c(OC)cc(O)c1CSC[C@H](Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)C(=O)OC,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1134350,J Med Chem,2001,,CHEMBL156813,,CHEMBL156813,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,307876,=,1,1,=,,IC50,ug.mL-1,,120.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,ug ml-1,UO_0000274,,120.0
,,146493,[],CHEMBL663649,In vitro fragmentation of DNA in the presence of excess calf thymus topoisomerase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCc1c2c(nc3cnc(C#CCN(C)C)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,,,CHEMBL1128280,J Med Chem,1995,"{'bei': '12.81', 'le': '0.24', 'lle': '3.93', 'sei': '6.02'}",CHEMBL13771,,CHEMBL13771,5.88,0,http://www.openphacts.org/units/Nanomolar,13171,=,1,1,=,,IC50,nM,,1331.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,nM,UO_0000065,,1331.0
,,147664,[],CHEMBL663649,In vitro fragmentation of DNA in the presence of excess calf thymus topoisomerase.,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,,,CHEMBL1128280,J Med Chem,1995,"{'bei': '17.67', 'le': '0.32', 'lle': '4.07', 'sei': '7.56'}",CHEMBL65,CAMPTOTHECIN,CHEMBL65,6.16,1,http://www.openphacts.org/units/Nanomolar,13153,=,1,1,=,,IC50,nM,,700.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,nM,UO_0000065,,700.0
,,150020,[],CHEMBL663649,In vitro fragmentation of DNA in the presence of excess calf thymus topoisomerase.,B,,,BAO_0000190,BAO_0000357,single protein format,CCc1c2c(nc3cnc(C(=O)NCCN(C)C)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,,,CHEMBL1128280,J Med Chem,1995,"{'bei': '10.23', 'le': '0.19', 'lle': '3.70', 'sei': '3.97'}",CHEMBL268290,,CHEMBL268290,5.03,0,http://www.openphacts.org/units/Nanomolar,13167,=,1,1,=,,IC50,nM,,9328.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,nM,UO_0000065,,9328.0
,,152459,[],CHEMBL663650,Minimum concentration that produced 50% fragmentation of DNA was measured in the presence of excess calf thymus topoisomerase.,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cnc(CN)cc1c2C,,,CHEMBL1128280,J Med Chem,1995,"{'bei': '16.91', 'le': '0.31', 'lle': '5.39', 'sei': '5.51'}",CHEMBL276460,,CHEMBL276460,6.63,0,http://www.openphacts.org/units/Nanomolar,13164,=,1,1,=,,IC50,nM,,232.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,nM,UO_0000065,,232.0
,,153282,[],CHEMBL815521,Compound was tested in vitro for inhibition of topoisomerase I.,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(/N=C/N(C)C)cccc3nc2-1.Cl,,,CHEMBL1128997,Bioorg Med Chem Lett,1996,"{'bei': '11.27', 'le': '0.21', 'lle': '2.42', 'sei': '4.86'}",CHEMBL543237,,CHEMBL1192055,4.72,0,http://www.openphacts.org/units/Nanomolar,313170,=,1,1,=,,IC50,nM,,19200.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,uM,UO_0000065,,19.2
,,153286,[],CHEMBL815521,Compound was tested in vitro for inhibition of topoisomerase I.,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N/C=N/C)cccc3nc2-1.Cl,,,CHEMBL1128997,Bioorg Med Chem Lett,1996,"{'bei': '12.81', 'le': '0.24', 'lle': '3.03', 'sei': '4.90'}",CHEMBL542775,,CHEMBL1191644,5.18,0,http://www.openphacts.org/units/Nanomolar,313177,=,1,1,=,,IC50,nM,,6600.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,uM,UO_0000065,,6.6
,,153292,[],CHEMBL815521,Compound was tested in vitro for inhibition of topoisomerase I.,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,,,CHEMBL1128997,Bioorg Med Chem Lett,1996,"{'bei': '14.80', 'le': '0.27', 'lle': '3.72', 'sei': '5.00'}",CHEMBL274070,9-AMINOCAMPTOTHECIN,CHEMBL274070,5.38,0,http://www.openphacts.org/units/Nanomolar,313171,=,1,1,=,,IC50,nM,,4200.0,CHEMBL1781,Homo sapiens,DNA topoisomerase 1,9606,,,IC50,uM,UO_0000065,,4.2
